date,equity
2024-01-02,100000.00
2024-01-03,100320.50
2024-01-04,100145.00
2024-01-05,100890.25
2024-01-08,101230.00
2024-01-09,100980.75
2024-01-10,101550.00
2024-01-11,102100.50
2024-01-12,101875.25
2024-01-15,102450.00
2024-01-16,102200.00
2024-01-17,103010.75
2024-01-18,102750.00
2024-01-19,103500.50
2024-01-22,104250.00
2024-01-23,103900.25
2024-01-24,104700.00
2024-01-25,105100.75
2024-01-26,104850.00
2024-01-29,105600.50
2024-01-30,106200.00
2024-01-31,105950.25
2024-02-01,106750.00
2024-02-02,107500.50
2024-02-05,107100.00
2024-02-06,108000.75
2024-02-07,107750.00
2024-02-08,108500.00
2024-02-09,109200.50
2024-02-12,109000.00
